op_label,row_kind,pitch_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Q0_mol_dm3,kq_s_inv,P_space_center_mean,P_line_center_mean,P_line_margin,contrast,area_frac,area_frac_locked,CD_pitch_frac,CD_initial_nm,CD_fixed_nm,CD_locked_nm,P_threshold_locked,cd_lock_status,LER_design_initial_nm,LER_after_eblur_H0_nm,LER_fixed_threshold_nm,LER_CD_locked_nm,LER_delta_nm,psd_eblur_mid,psd_PEB_mid,psd_locked_mid,status_fixed,status_CD_locked
primary,,18.0,28.4,2.0,0.5,30.0,0.02,1.0,0.4604087080921883,0.6624813083210036,0.012481308321003581,0.2020726002288153,0.820324074074074,0.6992592592592592,0.8111059234828826,12.614598889880975,14.599906622691886,12.523100334739429,0.5445312500000001,ok,2.77190169436708,2.820585026558353,3.7193336754504336,4.074789527082055,-0.35545585163162174,3.1979024471123854,6.41209620628879,4.073108708418264,valid,valid
primary,,18.0,40.0,2.0,0.5,30.0,0.02,1.0,0.5584420313010096,0.7515468124019694,0.10154681240196939,0.19310478110095985,0.9666203703703704,0.6915046296296297,0.9440256274114857,12.614598889880975,16.99246129340674,12.38049733867374,0.6468750000000001,ok,2.77190169436708,2.820585026558353,1.6284041935299054,4.156817450932953,-2.528413257403048,3.1979024471123854,2.6976833119817476,4.192266470342104,merged,merged
primary,,20.0,28.4,2.0,0.5,30.0,0.02,1.0,0.35882869528083067,0.6584899256255387,0.00848992562553863,0.299661230344708,0.6399166666666667,0.6200625,0.6400657940992285,12.46689001848755,12.80131588198457,12.39604786718799,0.5093750000000001,ok,2.77190169436708,2.6158313592245284,3.2419287877383676,3.1382326136006236,0.10369617413774401,2.8167932246171814,1.6491952439652249,1.4799854725120967,valid,valid
primary,,20.0,40.0,2.0,0.5,30.0,0.02,1.0,0.44675821037168684,0.7476063547451861,0.09760635474518609,0.30084814437349927,0.8357083333333334,0.6284791666666667,0.8281261712897721,12.46689001848755,16.56252342579544,12.565216575919065,0.6039062500000001,ok,2.77190169436708,2.6158313592245284,3.4987690932168882,3.2509107510364403,0.2478583421804479,2.8167932246171814,5.121450181453379,1.5884837496197692,robust_valid,robust_valid
primary,,24.0,28.4,2.0,0.5,30.0,0.02,1.0,0.1902960977140512,0.6564305085654224,0.006430508565422377,0.4661344108513712,0.48918402777777775,0.5150520833333333,0.4892987982498233,12.458324199521941,11.743171157995759,12.353616596459904,0.48125000000000007,ok,2.77190169436708,2.6041346164160317,2.4616557076442196,2.467998603582617,-0.006342895938397319,2.8149048192832744,1.0377695974745764,1.043923986632937,valid,valid
primary,,24.0,40.0,2.0,0.5,30.0,0.02,1.0,0.2458958293717591,0.7455084725972216,0.09550847259722162,0.4996126432254625,0.6056597222222222,0.5131770833333333,0.6052992135613827,12.458324199521941,14.527181125473186,12.31041177549831,0.578125,ok,2.77190169436708,2.6041346164160317,2.528799282447813,2.4708961622430103,0.057903120204802594,2.8149048192832744,1.0595242520380428,1.0323447669340082,robust_valid,robust_valid
control_sigma0_no_q,,18.0,28.4,0.0,0.5,30.0,0.0,0.0,0.4404959847246323,0.71980883196106,0.06980883196106002,0.27931284723642774,0.8141435185185185,0.7081712962962963,0.807681409676718,12.458333333333332,14.538265374180924,12.708061710854514,0.559375,ok,2.77190169436708,2.77190169436708,3.420244206168344,3.4866088040014476,-0.06636459783310356,4.618000519646098,5.333475200816207,3.2509913749143466,robust_valid,robust_valid
control_sigma0_no_q,,18.0,40.0,0.0,0.5,30.0,0.0,0.0,0.5135367555703417,0.7952525505391028,0.1452525505391028,0.2817157949687611,0.9267824074074074,0.689675925925926,0.9101689767942786,12.458333333333332,16.383041582297015,12.377241411966725,0.65,ok,2.77190169436708,2.77190169436708,2.2691680623880943,3.4708986701199094,-1.201730607731815,4.618000519646098,3.727437724683206,3.009057326005484,merged,merged
control_sigma0_no_q,,20.0,28.4,0.0,0.5,30.0,0.0,0.0,0.33528425734527645,0.7174980407046424,0.06749804070464238,0.38221378335936596,0.6661666666666667,0.6289583333333333,0.6658504076169308,12.458333333333332,13.317008152338616,12.577162024513473,0.528125,ok,2.77190169436708,2.77190169436708,2.9453364635042076,2.8495593824009338,0.09577708110327388,4.618000519646098,2.0835137602974574,2.065005747452965,robust_valid,robust_valid
control_sigma0_no_q,,20.0,40.0,0.0,0.5,30.0,0.0,0.0,0.3977109224562975,0.7931430766380493,0.14314307663804926,0.39543215418175176,0.7738333333333334,0.6228958333333333,0.7710574117642881,12.458333333333332,15.421148235285761,12.449736333875048,0.6125,ok,2.77190169436708,2.77190169436708,3.3194051613015247,2.837851226186893,0.48155393511463185,4.618000519646098,2.9356652669794636,2.0597798377413388,robust_valid,robust_valid
control_sigma0_no_q,,24.0,28.4,0.0,0.5,30.0,0.0,0.0,0.17287434944739,0.7164816886890355,0.06648168868903548,0.5436073392416455,0.5288368055555556,0.5168402777777777,0.5285293123195207,12.458333333333332,12.684703495668497,12.408917150933515,0.5125,ok,2.77190169436708,2.77190169436708,2.521352501186145,2.519818795619427,0.0015337055667177246,4.618000519646098,1.735573086112418,1.7434297931638647,robust_valid,robust_valid
control_sigma0_no_q,,24.0,40.0,0.0,0.5,30.0,0.0,0.0,0.21006022518366654,0.7922139688794154,0.1422139688794154,0.5821537436957489,0.5937152777777778,0.5151215277777778,0.593619143298796,12.458333333333332,14.246859439171104,12.353908359833643,0.59375,ok,2.77190169436708,2.77190169436708,2.531092523620566,2.5195701595897715,0.011522364030794652,4.618000519646098,1.5863511641222927,1.743814297269397,robust_valid,robust_valid
