recipe_id,rank_06c,yield_score_06c,yield_score_06a,n_mc,mean_cd_final,mean_cd_error,std_cd_final,mean_ler_locked,std_ler_locked,mean_p_line_margin,std_p_line_margin,robust_prob,margin_risk_prob,defect_prob,nominal_CD_error_nm,nominal_LER_CD_locked_nm,nominal_P_line_margin,mc_pareto_rank,mc_crowding_distance,balanced_score_mc,balanced_rank_mc,yield_score_rank_06c_mc,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,label_counts
D_1243,1,1.0,0.5487685920315793,100,15.764254307473772,0.7834565490551294,0.5334897407552182,2.536876691027422,0.020680888892854632,0.19577427235321523,0.012771434034630238,1.0,0.0,0.0,0.6872094263934905,2.5088834665591966,0.19441948718053503,1,inf,2.916107908088266,9,1,24.0,0.52,52.952189340256155,0.6573477387428284,0.47568279430270194,33.43297273851931,0.2021333150751889,0.4906858271919191,0.011134928120300173,1.5573461670428514,50.0,{'robust_valid': 100}
D_812,2,0.9999583333333333,0.29107409922489613,100,15.458637247308873,0.5506495566849338,0.5080119687929688,2.5448926532103413,0.018763604866280773,0.20956865405905417,0.011323523149600119,1.0,0.0,0.0,0.48359812955995984,2.519599509514687,0.21183317916431255,2,inf,-0.012202835147204744,6,2,24.0,0.52,52.489258121699095,0.1931153442710638,0.4951038148254156,29.144660155288875,0.20280318291857838,0.5752463086508215,0.008649151157587767,1.3841324714012444,50.0,{'robust_valid': 100}
D_1513,3,0.999925,-0.5017868237462524,100,16.678745931238655,1.6787459312386568,0.4487333559513686,2.5448131084771317,0.019013941175884688,0.275198190874437,0.0064316013108247595,1.0,0.0,0.0,1.7176453338360282,2.5268083951170364,0.2777248892332248,1,inf,-0.6852710489067748,4,3,24.0,0.52,57.739948318339884,0.2753005949780345,0.3883114458993077,31.595399980433285,0.21976879190653564,0.6074707061052322,0.009825902944430708,1.1671670558862388,50.0,{'robust_valid': 100}
D_3225,4,0.999925,0.5724648721053076,100,15.884469163551948,0.8886877400791537,0.5431756054792839,2.546478552907838,0.020331486433082746,0.22042868542492872,0.011196012990473472,1.0,0.0,0.0,0.9801558043471879,2.5217918327530358,0.22527179935319808,1,inf,3.038419383354676,10,4,24.0,0.52,59.955185344442725,0.19484605081379414,0.4984213786199689,32.54462571814656,0.20058580998331307,0.5513192222453653,0.016071795606985687,1.0864991042762995,50.0,{'robust_valid': 100}
D_29,5,0.99985,0.8472249999999996,100,13.88446163528992,1.1157391563474914,0.4116293844042705,2.567767291637738,0.018569528884776504,0.17689167329716995,0.014411439513429129,1.0,0.0,0.0,1.098979207993727,2.5436481128846067,0.1774985907001,1,inf,2.8380798822128566,8,5,24.0,0.52,54.815631047822535,0.03002660907804966,0.3794054176658392,26.620803335681558,0.2037108673620969,0.5268380688503385,0.011666939109563828,1.5449687978252769,50.0,{'robust_valid': 100}
D_4593,6,0.9996250000000001,0.30472006852890754,100,15.910075323477598,0.9153600833925252,0.47869533706637557,2.5362681180569813,0.019441832800953116,0.22023764024204304,0.012015146104824981,1.0,0.0,0.0,0.8979032393106312,2.5163410307632375,0.22118572973647888,1,1.1449938888866078,-0.2823104394269708,5,6,24.0,0.52,54.4862330686301,0.5168475955724716,0.4447053151205182,35.66634920891374,0.18961607231758534,0.5720053535886109,0.021670072115957735,1.0442101648077369,50.0,{'robust_valid': 100}
D_1752,7,0.998716666666667,0.7724273403520433,100,15.324211413805724,0.48635330900040535,0.5297499561447135,2.541532359336704,0.01798001936222425,0.20589136339617542,0.013069230941433316,1.0,0.0,0.0,0.38667789532316377,2.5215400715887504,0.20978348696215976,1,1.007548505893099,-0.7357649111325726,3,7,24.0,0.52,55.48730645701289,0.06497154291719198,0.500106573291123,30.237314272671938,0.21844692035578192,0.5157025554217398,0.014249971406534313,1.000605819746852,50.0,{'robust_valid': 100}
D_2652,8,0.9983000000000006,-0.09898347445695777,100,15.1478133021615,0.34445142568963033,0.4171336038658965,2.5419852776763894,0.01768236315459316,0.2158217377096576,0.012030177468302967,1.0,0.0,0.0,0.2052452503967821,2.523350923566812,0.21524726181695308,1,inf,-4.235249268788506,1,8,24.0,0.52,50.27633666899055,0.27707752492278814,0.38451036922633647,36.74058944918215,0.18684964636340737,0.5565899247303605,0.017249463759362697,1.26831394713372,50.0,{'robust_valid': 100}
D_1963,9,0.998041666666667,0.8456661476764936,100,15.223658948355824,0.4203178129693108,0.4562223921117201,2.528188120107305,0.017921695509369003,0.19249365862089188,0.013441304697467921,1.0,0.0,0.0,0.26164968227095287,2.5110200291859393,0.19444504099271465,1,inf,-3.414315848280335,2,9,24.0,0.52,49.73868596646935,0.7941266912966967,0.4155564738437533,27.66520258039236,0.19111348493024707,0.5919772020541132,0.007932742070406675,0.9569138027727604,50.0,{'robust_valid': 100}
D_2899,10,0.9973250000000007,-0.24623404724989528,100,15.933205790132094,0.9396185937438983,0.5089775134334915,2.545973511492036,0.018863866337913697,0.22667846834238023,0.010191687520250663,1.0,0.0,0.0,0.8561814995103791,2.5242703108108406,0.22719339068259348,1,inf,0.5725071780263143,7,10,24.0,0.52,59.393913810141385,0.11198273207992315,0.43516744785010814,35.399154857732356,0.17993396399542688,0.570628852583468,0.015809983648359775,0.7819570177234709,50.0,{'robust_valid': 100}
