recipe_id,rank_strict,strict_score,yield_score,fd_label,FD_yield_score_nom,FD_CD_final_nm,FD_CD_locked_nm,FD_LER_CD_locked_nm,FD_P_line_margin,FD_area_frac,FD_CD_error_nm,FD_pass_strict
G_3691,1,0.7712882024965764,0.9909500000000024,robust_valid,1.0,15.629857444992311,12.249096160085799,2.521759482324201,0.22066422852000522,0.6509548611111111,0.6298574449923109,False
G_1500,2,0.7650266250777417,0.9954500000000012,robust_valid,1.0,15.574173168998474,12.422067521883182,2.514399109223191,0.22217485887999633,0.6485243055555555,0.5741731689984739,False
G_4867,3,0.744115080370199,0.9538499999999983,robust_valid,1.0,15.00294885997412,12.48350499225868,2.510559542416033,0.17582805281672076,0.6254861111111111,0.0029488599741203103,True
G_3185,4,0.7367785111141446,0.9544166666666674,robust_valid,0.9884514752159497,16.01154852478405,12.598548538641632,2.50519328108185,0.21899561114324229,0.6677083333333333,1.0115485247840503,False
G_1226,5,0.7363568021215621,0.9996500000000001,robust_valid,1.0,15.762255253396367,12.336879119711556,2.5133638187161247,0.23203934824878047,0.6566145833333333,0.7622552533963667,False
G_1679,6,0.7280005609143199,0.9261250000000005,robust_valid,1.0,15.44453455000866,12.388097973958127,2.513573377950679,0.20862518168318145,0.6429513888888889,0.44453455000865993,True
G_3366,7,0.7067064085465492,0.9811250000000016,robust_valid,1.0,15.824293258681845,12.298194079962824,2.5170657629554682,0.2474666512144741,0.6590104166666667,0.8242932586818448,False
G_715,8,0.7013104203929961,0.99995,robust_valid,1.0,14.951426754334392,12.536096388438626,2.5093765406102233,0.17621553293701842,0.6234722222222222,0.048573245665608056,True
G_1096,9,0.6990312374985798,0.9407333333333343,robust_valid,1.0,15.122597148840944,12.364785451330336,2.522261038653208,0.19503621537005422,0.6300694444444445,0.12259714884094386,True
G_1553,10,0.6897324852945307,0.8847249999999994,robust_valid,1.0,14.63773173003133,12.200058151003518,2.5013368198198727,0.14082576488982002,0.6102256944444444,0.3622682699686699,True
G_3521,11,0.68707289012927,0.9936750000000013,robust_valid,0.5946300818253079,16.405369918174692,12.335436676876387,2.5067067772987444,0.2411755044877848,0.6830729166666667,1.4053699181746921,False
G_12,12,0.6814970565156633,0.9739583333333346,robust_valid,-0.08397272097406727,17.083972720974067,12.407660057260726,2.488472062351388,0.23086457004351812,0.71171875,2.0839727209740673,False
G_2699,13,0.6787353801667958,0.9568333333333336,robust_valid,0.15003605980417944,16.84996394019582,12.279052859884548,2.5318574050499656,0.22235900574900636,0.7019791666666667,1.8499639401958206,False
G_1163,14,0.6779297467790131,0.9664500000000018,robust_valid,1.0,15.655445170794795,12.499750732307886,2.524176163314066,0.22909960026138265,0.6521701388888889,0.6554451707947955,False
G_534,15,0.6765983202417617,0.9932750000000014,robust_valid,0.863463596290039,16.13653640370996,12.63312612235477,2.523189070236671,0.2592079428203806,0.6724479166666667,1.136536403709961,False
G_1470,16,0.6765305255653493,0.9755166666666676,robust_valid,1.0,15.292354519738263,12.241675514810701,2.524011348979829,0.18088645048922192,0.6370138888888889,0.29235451973826265,True
G_2374,17,0.6753804194835797,0.8415750000000005,robust_valid,1.0,15.13216429068051,12.292395031988884,2.496587274924329,0.17747144045397112,0.6307986111111111,0.13216429068051028,True
G_590,18,0.672899003238528,0.9998000000000001,robust_valid,1.0,15.090696459659677,12.593824412795176,2.521624960933824,0.2070783952178673,0.6289930555555555,0.09069645965967688,True
G_295,19,0.6682716277346932,0.9768166666666677,robust_valid,0.9811981488977253,16.018801851102275,12.352876417742042,2.519271278161574,0.1906791013951431,0.6673784722222222,1.0188018511022747,False
G_3475,20,0.6634566338982341,0.9923000000000013,robust_valid,1.0,15.130424495439916,12.298625670793509,2.5194391515073815,0.19036593868517038,0.6304166666666666,0.1304244954399163,True
