recipe_id,n_mc,robust_valid_prob,margin_risk_prob,defect_prob,strict_pass_prob,mean_cd_final,std_cd_final,mean_cd_error,mean_ler_locked,std_ler_locked,mean_p_line_margin,FD_MC_strict_score,surrogate_strict_score_06l,pitch_nm,line_cd_ratio
J_1453,100,1.0,0.0,0.0,0.73,15.151735597946681,0.40208432210167855,0.3495767459888867,2.5578902883144328,0.011884608062914059,0.2411206687154007,0.9081876854188922,0.8570752201761371,24.0,0.45
J_4665,100,1.0,0.0,0.0,0.53,15.47039975930796,0.40532615272401507,0.5181247473146238,2.460546096748318,0.01949979469126458,0.16953848667241814,0.5908997829308347,-1.4153719727268634,28.0,0.45
J_461,100,1.0,0.0,0.0,0.55,15.405608954848104,0.4929877244916463,0.514964365398323,2.54459070600588,0.021429470057940752,0.19709994899614963,0.5591520277200518,-0.3968885929284634,24.0,0.52
J_4164,100,1.0,0.0,0.0,0.55,14.61146897278882,0.5111036717648159,0.5224577172811624,2.7153386618649353,0.03414173391504468,0.1795915983438218,0.550198298622921,0.4790090570363353,20.0,0.6
J_1603,100,1.0,0.0,0.0,0.56,15.479712988886368,0.45569575793567896,0.5282248145234932,2.5911623889439976,0.017868376409814726,0.22759097089591473,0.5168017830265761,-0.3784562467838258,24.0,0.45
J_4793,100,1.0,0.0,0.0,0.32,15.670631299585189,0.3557021219752016,0.6739688942904936,2.516490679407153,0.01725877866095925,0.25364673843422986,0.3291890223971861,0.28852814348069655,28.0,0.45
J_3413,100,1.0,0.0,0.0,0.06,16.28434633523575,0.49213192636025166,1.2843463352357483,2.466935193203857,0.017987770553074177,0.20106539406085866,-1.3324576330494002,-0.9769346569446467,28.0,0.45
J_4354,100,1.0,0.0,0.0,0.05,16.3016292575973,0.510539298128106,1.301629257597293,2.4648599126762663,0.018507142616170393,0.14697572215061777,-1.3964261524556856,-1.5009760041718716,28.0,0.52
J_2796,100,1.0,0.0,0.0,0.0,17.158175153612778,0.6926619763737033,2.158175153612778,2.556370943746858,0.022916850973246982,0.2252291082288724,-3.9182181837811174,-0.690236685144924,24.0,0.52
J_1634,100,1.0,0.0,0.0,0.0,17.217518215335453,0.7310616056268741,2.2175182153354522,2.578076401814892,0.023667284107881523,0.22343669871368832,-4.096695471327936,-1.078473012817632,24.0,0.52
