feature,is_derived,fi_classifier,fi_regressor4,fi_aux_cd_fixed,fi_strict_score
pitch_nm,False,0.0470908748304065,0.01756897529266592,0.011922022605891428,0.012159471628596813
line_cd_ratio,False,0.037245690332784326,0.03793000844297251,0.02751156024407222,0.010594275594252436
dose_mJ_cm2,False,0.08966529378860162,0.0018401058131742797,0.12090264656964861,0.08070885855176453
sigma_nm,False,0.08451899448185525,0.0016397958135609648,0.003532818718783017,0.037663964103051194
DH_nm2_s,False,0.0393955149277416,0.005576574911459918,0.007333717290732334,0.009680419999848568
time_s,False,0.037737562744908346,0.0007101117150642906,0.032804788631258824,0.01306862535726125
Hmax_mol_dm3,False,0.028381404029664836,0.0006965795746033459,0.005812395610773213,0.01419065632982023
kdep_s_inv,False,0.051216179051476775,0.0005756840751229432,0.00686592875235828,0.016636227059115914
Q0_mol_dm3,False,0.03735952199742843,0.0005183292130816528,0.03365487041348082,0.02097550259330577
kq_s_inv,False,0.01862696449427477,0.00023901277388540393,0.006142091389350372,0.008516757464834566
abs_len_nm,False,0.01878807938046351,0.00038910547794045766,0.004678295975223611,0.012036116522519083
diffusion_length_nm,True,0.06188032527170249,0.00975739579820674,0.010482312003162138,0.024049626537488128
reaction_budget,True,0.09467958957304518,0.0025455515723060173,0.2293366263455451,0.10603923154775775
quencher_budget,True,0.03275058965786423,0.0007268672346699146,0.031437174091335014,0.026013738197696062
blur_to_pitch,True,0.11946341475274666,0.006952195186049394,0.005154282765317157,0.3717902255898584
line_cd_nm_derived,True,0.035178975207375944,0.9002490885981027,0.2688910980208791,0.1681704227241362
DH_x_time,True,0.06710997791405351,0.009241058589421097,0.011577840124299459,0.02178620762105592
Hmax_kdep_ratio,True,0.021616556687033963,0.0006239318509868924,0.0032265717414655796,0.008439973090520133
Q0_kq_ratio,True,0.019488064416250946,0.0005444566508276357,0.007421803688625432,0.010726501124494003
dose_x_blur,True,0.05780642646032106,0.0016751714158979136,0.17131115501779842,0.02675319836262306
